folder,file,indent_depth,force,modulus,hertzfactor,contactpointindex,bestcontactpointrms,contactpointposition,indent_time,x,y,setpoint_N,setpoint_V,sensitivity,springconstant,beadradius,animal,orient,setpoint,speed,condition,stage,x_image,y_image,roi,beta_pyforce,k0_pyforce,k_pyforce,pix_per_m
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.05.49.902.mat,2.78E-06,9.95E-09,371.3766,2.1378,2411,6.43E-19,7.55E-05,0.1545,-0.0001169,0.001854,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2250937,924.8278884,0,0.181911736,391.0277329,359.9584656,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.06.14.180.mat,3.25E-06,1.00E-08,286.9291,1.6517,8512,2.00E-17,1.44E-05,0.178,-9.56E-05,0.001867,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2824468,902.888449,0,0.180911961,344.7153979,320.1297644,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.06.29.278.mat,3.29E-06,9.98E-09,294.2362,1.6938,4718,2.66E-18,5.24E-05,0.18,-7.43E-05,0.0018801,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2664826,880.9044746,0,0.161501039,306.9912319,290.4237466,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.06.44.040.mat,3.43E-06,9.97E-09,278.1409,1.6011,5622,2.11E-18,4.34E-05,0.187,-5.30E-05,0.0018932,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2505185,858.9205002,0,0.162826405,296.902,272.9173136,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.06.59.103.mat,3.36E-06,9.97E-09,280.0571,1.6122,6367,3.09E-18,3.60E-05,0.1835,-3.17E-05,0.0019063,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,675.2345543,836.9365259,0,0.131053567,300.6489842,238.1837111,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.07.14.512.mat,6.29E-06,9.95E-09,112.4369,0.64725,6386,4.10E-18,3.58E-05,0.33,2.30E-06,0.0018978,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7722318,814.9428189,0,0.170552336,129.3910103,101.1703235,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.07.28.393.mat,2.73E-06,9.99E-09,381.898,2.1984,2584,9.83E-19,7.38E-05,0.152,-1.90E-05,0.0018847,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7881959,836.9267933,0,0.165937445,409.0169058,359.1273132,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.07.52.462.mat,2.92E-06,9.97E-09,348.1428,2.0041,6983,2.00E-18,2.98E-05,0.1615,-4.03E-05,0.0018716,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.8041601,858.9107676,0,0.183183339,357.4732495,343.5886252,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.08.07.045.mat,3.54E-06,1.00E-08,259.2454,1.4924,4214,4.10E-19,5.75E-05,0.1925,-6.16E-05,0.0018586,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7468071,880.8502071,0,0.149937849,290.224285,251.825644,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.08.21.162.mat,3.38E-06,9.98E-09,281.6868,1.6215,4658,1.73E-18,5.31E-05,0.1845,-8.29E-05,0.0018455,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7627712,902.8341814,0,0.164217922,306.6001851,275.2502302,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.08.35.783.mat,2.42E-06,9.97E-09,455.1782,2.6203,5434,5.98E-19,4.54E-05,0.1365,-0.0001042,0.0018324,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7787353,924.8181558,0,0.166589527,450.9439998,404.6702017,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.08.50.209.mat,3.09E-06,9.97E-09,323.9359,1.8648,4950,8.91E-19,5.02E-05,0.17,-0.0001255,0.0018193,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7946995,946.8021302,0,0.159723013,345.7325676,319.0565345,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.09.04.930.mat,3.33E-06,9.93E-09,283.9867,1.6348,5809,5.24E-19,4.16E-05,0.182,-0.0001468,0.0018062,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.8106636,968.7861045,0,0.145172478,310.441029,277.4662969,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.09.19.611.mat,6.25E-06,9.93E-09,105.7351,0.60867,5128,1.34E-17,4.85E-05,0.328,-0.0001681,0.0017932,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7533106,990.725544,0,0.11011716,121.3778216,81.63535497,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.09.34.837.mat,6.68E-06,9.92E-09,96.3519,0.55465,4821,6.96E-18,5.16E-05,0.3495,-0.0001894,0.0017801,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7692747,1012.709518,0,0.114067173,91.83058138,60.71990454,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.09.48.827.mat,8.39E-06,9.92E-09,72.2619,0.41598,3182,5.04E-18,6.80E-05,0.435,-0.0002107,0.001767,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7852389,1034.693493,0,0.25166594,90.29904866,68.52721785,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.10.01.560.mat,6.24E-06,9.95E-09,108.9553,0.62721,2964,1.80E-18,7.02E-05,0.3275,-0.0002321,0.0017539,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7561862,1056.753288,0,0.150290278,116.329413,77.23724508,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.10.26.574.mat,4.78E-06,9.97E-09,164.9284,0.94942,9433,8.43E-19,5.39E-06,0.2545,-0.0002534,0.0017408,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7721503,1078.737263,0,0.147868391,195.3224641,153.6091309,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.10.42.249.mat,5.86E-06,9.94E-09,124.3431,0.71579,6836,2.16E-18,3.12E-05,0.3085,-0.0002747,0.0017277,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7881145,1100.721237,0,0.19874027,148.7704024,114.0934149,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.10.58.758.mat,3.92E-06,9.91E-09,219.9926,1.2664,7276,1.35E-18,2.69E-05,0.2115,-0.000296,0.0017147,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7307615,1122.660676,0,0.150878007,248.7961806,197.9877193,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.11.13.648.mat,4.32E-06,9.92E-09,188.3793,1.0844,6161,2.94E-18,3.80E-05,0.2315,-0.0003173,0.0017016,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7467256,1144.644651,0,0.134867468,196.5940797,146.0260382,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.11.28.525.mat,3.34E-06,9.95E-09,281.1993,1.6187,5001,2.32E-18,4.97E-05,0.1825,-0.0003386,0.0016885,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7626897,1166.628625,0,0.1485153,251.2653302,183.1151541,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.11.43.816.mat,2.66E-06,9.95E-09,395.6736,2.2777,5846,1.45E-18,4.13E-05,0.1485,-0.0003599,0.0016754,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,696.7786539,1188.612599,0,0.158352841,353.1847844,277.6380756,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.11.58.303.mat,3.70E-06,9.95E-09,238.3104,1.3718,5011,1.91E-18,4.96E-05,0.2005,-0.0003685,0.0016408,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2749425,1210.542306,0,0.111432547,237.0417695,175.0004909,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.12.12.476.mat,3.62E-06,9.92E-09,242.6358,1.3967,4071,4.93E-18,5.91E-05,0.1965,-0.0003472,0.0016539,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2589783,1188.558332,0,0.1314291,238.121556,172.2241018,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.12.25.994.mat,3.22E-06,9.96E-09,285.6353,1.6443,3831,1.01E-17,6.15E-05,0.1765,-0.0003259,0.0016669,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.3163313,1166.618892,0,0.172554607,348.8016271,283.7518637,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.12.39.941.mat,2.60E-06,9.94E-09,408.5562,2.3519,4156,9.60E-19,5.83E-05,0.1455,-0.0003046,0.00168,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.3003672,1144.634918,0,0.161496646,376.1272325,321.7561788,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.12.53.199.mat,6.54E-06,9.95E-09,103.7726,0.59737,2368,6.02E-18,7.62E-05,0.3425,-0.0002833,0.0016931,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2844031,1122.650944,0,0.172214579,130.9110347,103.5864821,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.13.17.225.mat,7.18E-06,9.96E-09,90.0217,0.51821,6310,1.99E-18,3.67E-05,0.3745,-0.000262,0.0017062,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2684389,1100.666969,0,0.161878949,104.0178035,75.9109835,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.13.32.334.mat,4.10E-06,9.97E-09,209.9268,1.2085,2934,5.54E-19,7.05E-05,0.2205,-0.0002407,0.0017193,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2524748,1078.682995,0,0.179034161,233.8581284,206.1254396,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.13.56.822.mat,3.60E-06,9.96E-09,247.875,1.4269,7930,1.74E-18,2.05E-05,0.1955,-0.0002194,0.0017324,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2365106,1056.699021,0,0.165028362,231.6986863,181.4955988,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.14.11.593.mat,5.80E-06,1.00E-08,124.1648,0.71476,4451,5.61E-19,5.53E-05,0.3055,-0.0001981,0.0017454,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2938637,1034.759581,0,0.181510535,137.5334655,103.3630833,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.14.25.340.mat,4.68E-06,9.97E-09,172.9061,0.99534,5228,1.64E-18,4.75E-05,0.2495,-0.0001768,0.0017585,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2778995,1012.775607,0,0.147140795,164.0067919,119.4401484,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.14.39.641.mat,2.86E-06,9.97E-09,360.8958,2.0775,5085,6.98E-19,4.90E-05,0.1585,-0.0001555,0.0017716,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2619354,990.7916325,0,0.143031585,354.6469977,306.6551508,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.14.54.352.mat,3.05E-06,9.94E-09,326.2667,1.8782,4702,4.80E-19,5.29E-05,0.168,-0.0001342,0.0017847,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2459712,968.8076581,0,0.13385197,333.5129255,278.3966611,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.15.08.597.mat,2.58E-06,9.97E-09,424.3312,2.4427,4608,5.06E-19,5.38E-05,0.1445,-0.0001129,0.0017978,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2300071,946.8236837,0,0.154112428,425.4522884,380.6746532,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.15.23.201.mat,2.63E-06,9.96E-09,405.0297,2.3316,4761,1.05E-18,5.23E-05,0.147,-9.16E-05,0.0018108,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2873601,924.8842443,0,0.157835631,361.211124,312.9761117,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.15.37.481.mat,3.46E-06,9.96E-09,269.3485,1.5505,4450,8.37E-19,5.55E-05,0.1885,-7.03E-05,0.0018239,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.271396,902.9002699,0,0.148698672,299.1074356,257.9409851,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.15.51.799.mat,3.58E-06,9.96E-09,258.2223,1.4865,4606,1.62E-18,5.39E-05,0.1945,-4.90E-05,0.001837,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2554318,880.9162956,0,0.145709293,295.3562237,242.8417236,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.16.06.863.mat,2.72E-06,1.00E-08,383.3621,2.2068,5847,3.58E-18,4.15E-05,0.1515,-2.77E-05,0.0018501,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2394677,858.9323212,0,0.150829842,365.6634123,310.878534,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.16.21.542.mat,4.15E-06,9.98E-09,205.4821,1.1829,5251,1.10E-18,4.75E-05,0.223,-6.30E-06,0.0018632,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.2685204,836.8725257,0,0.202692605,198.9144125,155.2515618,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.16.54.988.mat,5.26E-06,1.00E-08,141.9159,0.81694,7332,2.52E-18,2.66E-05,0.2785,3.63E-05,0.0018893,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,718.3099092,792.9491119,0,0.128908656,165.6218067,122.1531434,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.17.09.072.mat,4.94E-06,9.97E-09,159.9243,0.92061,4591,1.41E-18,5.39E-05,0.2625,4.89E-05,0.0018678,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7452169,792.9706655,0,0.156746819,186.6738536,158.7840296,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.17.22.784.mat,3.20E-06,9.89E-09,304.3514,1.752,3159,9.87E-19,6.83E-05,0.1755,2.76E-05,0.0018547,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.761181,814.9546398,0,0.147472639,316.5507793,252.9043902,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.17.45.019.mat,4.63E-06,1.00E-08,177.252,1.0204,4155,5.59E-18,5.83E-05,0.247,6.30E-06,0.0018416,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7771451,836.9386142,0,0.323589427,174.2167806,176.8185035,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.17.58.577.mat,4.34E-06,9.99E-09,189.6623,1.0918,4074,1.72E-18,5.92E-05,0.2325,-1.50E-05,0.0018285,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7931093,858.9225886,0,0.249905796,212.8596202,185.9049474,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.18.13.233.mat,7.29E-06,9.97E-09,87.766,0.50523,3386,1.16E-18,6.61E-05,0.38,-3.63E-05,0.0018154,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.8090734,880.906563,0,0.133348743,98.23854943,71.14956394,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.18.26.421.mat,5.23E-06,9.97E-09,144.302,0.83068,3087,8.24E-19,6.92E-05,0.277,-5.76E-05,0.0018024,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7517204,902.8460024,0,0.157725028,179.0114363,138.9783123,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.19.06.473.mat,2.56E-06,9.95E-09,420.3564,2.4198,5428,2.66E-19,4.56E-05,0.1435,-0.0001002,0.0017762,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7836487,946.8139511,0,0.146412483,437.6671583,384.8981097,869670.17
D:\Niklas\data\TO DO\4_To plot\2024_06_07_#1_stage37.5_WT\files and labfile,force-save-2024.06.07-12.19.22.155.mat,2.73E-06,9.96E-09,387.3933,2.23,5247,6.93E-19,4.75E-05,0.152,-0.0001215,0.0017631,1.00E-08,4.183767818,7.24E-08,0.033,1.86E-05,1,,NaN,NaN,WT,37.5,739.7996128,968.7979255,0,0.133665492,395.8305621,338.7555844,869670.17
